Title,Affiliation,Authors
Ethics 4.0: Ethical Dilemmas in Healthcare Mediated by Social Robots,"['ISCTE-Instituto Universitário de Lisboa, CIS-IUL, Lisboa, Portugal', 'Psychology Research Centre (CIP), University of Algarve, Faro, Portugal']","['Antonio Soares,\xa0Nuno Piçarra,\xa0Raquel Oliveira\xa0&\xa0Patrícia Arriaga', 'Jean-Christophe Giger']"
"Is Politeness Better than Impoliteness? Comparisons of Robot's Encouragement Effects Toward Performance, Moods, and Propagation","['ATR, Kyoto, Japan', 'Doshisha University, Kyoto, Japan']","['Kana Higashino,\xa0Mitsuhiko Kimoto,\xa0Takamasa Iio\xa0&\xa0Masahiro Shiomi', 'Kana Higashino,\xa0Takamasa Iio\xa0&\xa0Katsunori Shimohara']"
Audio–Visual Predictive Processing in the Perception of Humans and Robots,"['Leibniz-Institut für Wissensmedien, Tübingen, Germany', 'Department of Psychology, Bilkent University, Ankara, Turkey', 'Interdisciplinary Neuroscience Program, Bilkent University, Ankara, Turkey', 'Aysel Sabuncu Brain Research Center, National Magnetic Resonance Imaging Research Center (UMRAM), Ankara, Turkey']","['Busra Sarigul', 'Burcu A. Urgen', 'Burcu A. Urgen', 'Burcu A. Urgen']"
Codifying Wildness: Wild Behaviour for Improving Human-Robot Interaction,"['Center for Automation and Robotics, Universidad Politecnica de Madrid-CSIC, 2, Jose Gutierrez Abscal, 28006, Madrid, Madrid, Spain', 'Universidad Europea de Madrid, 10587, Madrid, Madrid, Spain']","['Esther Aguado\xa0&\xa0Claudio Rossi', 'Pablo Gil']"
Human–Robot Cooperation in Economic Games: People Show Strong Reciprocity but Conditional Prosociality Toward Robots,"['Institute of Neuroscience and Psychology, University of Glasgow, Glasgow, Scotland, UK', 'Department of Cognitive Science, Level 3, Australian Hearing Hub, Macquarie University, Sydney, NSW, 2109, Australia', 'Department of Humanities, Social and\nPolitical Sciences, ETH Zurich, Switzerland']","['Te-Yi Hsieh,\xa0Bishakha Chaudhury\xa0&\xa0Emily S. Cross', 'Emily S. Cross', 'Emily S. Cross']"
A Systematic Literature Review of Decision-Making and Control Systems for Autonomous and Social Robots,"['Systems Engineering and Automation Department, University Carlos III of Madrid, Butaque, 15, Leganés, 28912, Madrid, Spain']","['Marcos Maroto-Gómez,\xa0Fernando Alonso-Martín,\xa0María Malfaz,\xa0Álvaro Castro-González,\xa0José Carlos Castillo\xa0&\xa0Miguel Ángel Salichs']"
Mind Perception in HRI: Exploring Users’ Attribution of Mental and Emotional States to Robots with Different Behavioural Styles,"['Department of Electrical Engineering and Information Technologies, University of Naples Federico II, Via Claudio 80, 80125, Naples, Italy', 'Department of Psychology, University of Campania Luigi Vanvitelli, Viale Ellittico, 31, 81100, Caserta, Italy']","['Ilenia Cucciniello,\xa0Sara Sangiovanni\xa0&\xa0Silvia Rossi', 'Gianpaolo Maggi']"
Process of Escalating Robot Abuse in Children,"['Tokai University, Kanagawa, Japan', 'Kyoto University, Kyoto, Japan', 'ATR, Kyoto, Japan']","['Sachie Yamada', 'Sachie Yamada\xa0&\xa0Takayuki Kanda', 'Sachie Yamada,\xa0Takayuki Kanda\xa0&\xa0Kanako Tomita']"
What’s Best for Customers: Empathetic Versus Solution-Oriented Service Robots,"['Business School, Monash University, Wellington Rd, Clayton, VIC, 3168, Australia', 'Faculty of Engineering, Monash University, Alliance Ln, Clayton, VIC, 3168, Australia']","['Dewi Tojib', 'Elahe Abdi,\xa0Leimin Tian,\xa0Liana Rigby,\xa0James Meads\xa0&\xa0Tanya Prasad']"
Exploring the Future Development of Artificial Intelligence (AI) Applications in Chatbots: A Bibliometric Analysis,"['School of Maritime Economics and Management, Dalian Maritime University, No.1 Linghai Road, Gaoxinyuan District, Dalian City, Liaoning Province, People’s Republic of China', 'School of Industrial Engineering, Purdue University, West Lafayette, USA']","['Li Liu', 'Vincent G. Duffy']"
Face to Face with a Sexist Robot: Investigating How Women React to Sexist Robot Behaviors,"['Computer Science, University of Manitoba, Winnipeg, Canada', 'Computing and Software, McMaster University, Hamilton, Canada', 'Sociology, University of Manitoba, Winnipeg, Canada', 'Design and Communication, University of Southern Denmark, Odense, Denmark']","['Diljot Garcha,\xa0Raquel Thiessen\xa0&\xa0James Young', 'Denise Geiskkovitch', 'Susan Prentice', 'Kerstin Fischer']"
New Short Scale to Measure Workers’ Attitudes Toward the Implementation of Cooperative Robots in Industrial Work Settings: Instrument Development and Exploration of Attitude Structure,"['Robopsychology Lab, Johannes Kepler University Linz, Altenberger Str. 69, Linz, 4040, Austria', 'Institute of Industrial Engineering and Ergonomics, RWTH Aachen University, Eilfschornsteinstr. 18, Aachen, 52062, Germany', 'Department of Psychology, University of Bonn, Kaiser-Karl-Ring 9, Bonn, 53111, Germany', 'Institute of Psychology and Education, Ulm University, Albert-Einstein-Allee 47, Ulm, 89081, Germany']","['Benedikt Leichtmann', 'Benedikt Leichtmann\xa0&\xa0Verena Nitsch', 'Johanna Hartung', 'Johanna Hartung\xa0&\xa0Oliver Wilhelm']"
The Use of Robots in the Workplace: Conclusions from a Health Promoting Intervention Using Social Robots,"['Instituto Universitário de Lisboa (Iscte-IUL) & Business Research Unit (BRU-IUL), Iscte-IUL, Lisbon, Portugal', 'INESC-ID & Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal']","['Sara L. Lopes\xa0&\xa0Aristides I. Ferreira', 'Rui Prada']"
NeuroCERIL: Robotic Imitation Learning via Hierarchical Cause-Effect Reasoning in Programmable Attractor Neural Networks,"['Department of Computer Science, University of Maryland, College Park, MD, USA', 'Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA', 'Department of Kinesiology, University of Maryland, College Park, MD, USA']","['Gregory P. Davis\xa0&\xa0James A. Reggia', 'Garrett E. Katz', 'Rodolphe J. Gentili']"
The Impact of Socially Assistive Robots on Human Flourishing in the Context of Dementia: A Scoping Review,"['Pragmatic Health Ethics Research Unit, Institut de recherches cliniques de Montréal, 110 Avenue Des Pins Ouest, Montréal, QC, H2W 1R7, Canada', 'Division of Experimental Medicine, McGill University, Montréal, QC, Canada', 'Department of Neurology and Neurosurgery, McGill University, Montréal, QC, Canada', 'Department of Medicine and Department of Social and Preventive Medicine, Université de Montréal, Montréal, QC, Canada']","['Erika Fardeau,\xa0Abdou Simon Senghor\xa0&\xa0Eric Racine', 'Abdou Simon Senghor\xa0&\xa0Eric Racine', 'Eric Racine', 'Eric Racine']"
Correction to: Integrative Robo-Ethics: Uncovering Roboticists’ Attitudes to Ethics and Moving Forward,"['PhD School for Communication Studies, IULM University, via Carlo Bo 1, 20143, Milan, Italy', 'Department of Anthropology, Maynooth University, Maynooth, County Kildare, Ireland', 'Intelligent Systems, TU Delft, Van Mourik Broekmanweg 6, 2628 XE, Delft, The Netherlands', 'Department of Communication, Arts and Media “Giampaolo Fabris”, IULM University, via Carlo Bo 1, 20143, Milan, Italy']","['Antonio Fleres', 'Louise Veling', 'Frank Broz', 'Luisa Damiano']"
The Uncanny Effect of Speech: The Impact of Appearance and Speaking on Impression Formation in Human–Robot Interactions,"['Faculty of Science and Technology, University of Canberra, Canberra, ACT, 2617, Australia', 'Faculty of Health, University of Canberra, Canberra, ACT, 2617, Australia']","['Neelu Gurung\xa0&\xa0Damith Hearth', 'Janie Busby Grant']"
Expressive Elements of Lifelike Machines,"['Department of Civil and Environmental Engineering, Université Catholique de Louvain, Louvain la Neuve, Belgium', 'Department of Mechanical Engineering, University of Brasilia, Brasília, Brazil', 'Department of Electrical and Computer Engineering, Concordia University, Montreal, Canada', 'Department of Communication Studies, Concordia University, Montreal, Canada']","['Julia Zamboni', 'Dianne Magalhães Viana', 'Luis Rodrigues', 'Mia Consalvo']"
A Trained Humanoid Robot can Perform Human-Like Crossmodal Social Attention and Conflict Resolution,"['CAS Key Laboratory of Behavioral Science, Institute of Psychology, Beijing, China', 'Department of Psychology, University of Chinese Academy of Sciences, Beijing, China', 'Department of Informatics, University of Hamburg, Hamburg, Germany']","['Di Fu,\xa0Ziwei Chen\xa0&\xa0Xun Liu', 'Di Fu,\xa0Ziwei Chen\xa0&\xa0Xun Liu', 'Di Fu,\xa0Fares Abawi,\xa0Hugo Carneiro,\xa0Matthias Kerzel,\xa0Erik Strahl\xa0&\xa0Stefan Wermter']"
Editorial Introduction to Special Issue on Machine Learning for Social Human-Robot Interaction,"['Electronics and Telecommunications Research Institute, Daejeon, South Korea', 'University of Auckland, Auckland, New Zealand', 'Korea Institute of Science and Technology, Seoul, South Korea']","['Minsu Jang', 'Ho Seok Ahn', 'Jong-Suk Choi']"
Robot Dialog System in the Context of Hospital Receptionist and its Demonstration,"['Level 6, Room 653, 5 Grafton RD, Auckland, New Zealand', 'Level 3, Room 903-314, 314 Khyber Pass Rd, Newmarket, New Zealand']","['Eui Jun Hwang,\xa0Byeong Kyu Ahn,\xa0Jong Yoon Lim\xa0&\xa0Bruce A. Macdonald', 'Eui Jun Hwang,\xa0Byeong Kyu Ahn,\xa0Jong Yoon Lim\xa0&\xa0Ho Seok Ahn']"
Detecting Lies is a Child (Robot)’s Play: Gaze-Based Lie Detection in HRI,"['Dipartimento di Informatica, Bioingegneria, Robotica e Ingegneria dei Sistemi (DIBRIS), Università di Genova, Opera Pia 13, 16145, Genova, Italy', 'Robotics Brain and Cognitive Sciences (RBCS), Istituto Italiano di Tecnologia, Enrico Melen 83, Bldg B, 16152, Genova, Italy', 'COgNiTive Architecture for Collaborative Technologies (CONTACT), Istituto Italiano di Tecnologia, Enrico Melen 83, Bldg B, 16152, Genova, Italy', 'Information and Communication Technologies Directorate (ICT), Istituto Italiano di Tecnologia, Enrico Melen 83, Bldg B, 16152, Genova, Italy', 'Social and Intelligent Robotics Research Laboratory (SIRRL), Department of Electrical and Computer Engineering, University of Waterloo, Engineering 7, 200 University Ave W, Waterloo, ON N2L 3G5, Canada']","['Dario Pasquali', 'Dario Pasquali,\xa0Giulio Sandini\xa0&\xa0Francesco Rea', 'Dario Pasquali\xa0&\xa0Jonas Gonzalez-Billandon', 'Alessandra Sciutti', 'Alexander Mois Aroyo']"
Real-Time Social Robot’s Responses to Undesired Interactions Between Children and their Surroundings,"['Department of Mechanical and Industrial Engineering, Qatar University, Doha, 2713, Qatar', 'Department of Electronics, Information and Bioengineering, Politecnico di Milano, Piazza Leonardo da Vinci 32, 20133, Milan, Italy']","['Ahmad Yaser Alhaddad\xa0&\xa0John-John Cabibihan', 'Andrea Bonarini']"
Video Captioning Based on Both Egocentric and Exocentric Views of Robot Vision for Human-Robot Interaction,"['Seoul National University of Science and Technology, Seoul, South Korea']",['Soo-Han Kang\xa0&\xa0Ji-Hyeong Han']
Factors for Personalization and Localization to Optimize Human–Robot Interaction: A Literature Review,"['Department of Psychological Medicine, The University of Auckland, Auckland, New Zealand', 'School of Health Sciences, The University of Manchester, Manchester, UK', 'Département d’Informatique, Facultés des Sciences et Ingénieries, Sorbonne Université, Paris, France', 'Department of Electrical, Computer and Software Engineering, CARES, The University of Auckland, Auckland, New Zealand']","['Norina Gasteiger', 'Norina Gasteiger', 'Mehdi Hellou', 'Mehdi Hellou\xa0&\xa0Ho Seok Ahn']"
Socially Aware Robot Obstacle Avoidance Considering Human Intention and Preferences,"['Department of Mechanical and Aerospace Engineering, West Virginia University, Morgantown, WV, USA', 'Department of Industrial and Systems Engineering, University of Florida, Gainesville, FL, USA', 'Department of Electrical and Computer Engineering, University of North Carolina at Charlotte, Charlotte, NC, USA']","['Trevor Smith\xa0&\xa0Yu Gu', 'Yuhao Chen\xa0&\xa0Boyi Hu', 'Nathan Hewitt']"
Dynamic Iranian Sign Language Recognition Using an Optimized Deep Neural Network: An Implementation via a Robotic-Based Architecture,"['Social and Cognitive Robotics Lab, Sharif University of Technology, Tehran, Iran', 'Chancellor of Fereshtegaan International Branch, Islamic Azad University, Tehran, Iran', 'Department of Energy Engineering, Sharif University of Technology, Tehran, Iran', 'Faculty of Humanities, Islamic Azad University, West Tehran Branch, Tehran, Iran']","['Salar Basiri,\xa0Alireza Taheri,\xa0Ali F. Meghdari\xa0&\xa0Minoo Alemi', 'Ali F. Meghdari', 'Mehrdad Boroushaki', 'Minoo Alemi']"
Experience with an Affective Robot Assistant for Children with Hearing Disabilities,"['Department of Computer Engineering, Galatasaray University, Istanbul, Turkey', 'Department of AI and Data Engineering, Istanbul Technical University, Istanbul, Turkey', 'Department of Electrical and Electronics Engineering, Yeditepe University, Istanbul, Turkey']","['Pinar Uluer', 'Pinar Uluer\xa0&\xa0Hatice Kose', 'Elif Gumuslu\xa0&\xa0Duygun Erol Barkana']"
A Communicative Perspective on Human–Robot Collaboration in Industry: Mapping Communicative Modes on Collaborative Scenarios,"['Austrian Research Institute for Artificial Intelligence, Freyung 6, 1010, Vienna, Austria']",['Stephanie Gross\xa0&\xa0Brigitte Krenn']
A Novel Mirror Neuron Inspired Decision-Making Architecture for Human–Robot Interaction,"['Bristol Robotics Laboratory, University of the West of England, Coldharbour Lane, Bristol, BS16 1QY, UK', 'Department of Computer Science and Creative Technologies, University of the West of England, Coldharbour Lane, Bristol, BS16 1QY, UK', 'Faculty of Science and Technology, Free University of Bozen-Bolzano, piazza Università, 39100, Bolzano, Italy']","['Mehdi Sobhani\xa0&\xa0Anthony Pipe', 'Jim Smith', 'Angelika Peer']"
Correction to: Ethical Considerations from Child-Robot Interactions in Under-Resourced Communities,"['Indraprastha Insitute of Information Technology Delhi, New Delhi, India', 'eLaw Center for Law and Digital Technologies, Leiden University, Leiden, The Netherlands', 'Department of Philosophy, University of Delhi, New Delhi, India']","['Divyanshu Kumar Singh,\xa0Manohar Kumar\xa0&\xa0Jainendra Shukla', 'Eduard Fosch-Villaronga', 'Deepa Singh']"
(Hu)man-Like Robots: The Impact of Anthropomorphism and Language on Perceived Robot Gender,"['Department of Psychology and Ergonomics, Technische Universität Berlin, Marchstr. 12, 10587, Berlin, Germany']","['Eileen Roesler,\xa0Maris Heuring\xa0&\xa0Linda Onnasch']"
A Two-Tier GAN Architecture for Conditioned Expressions Synthesis on Categorical Emotions,"['Department of Electrical Engineering and Information Technologies, University of Naples Federico II, via Claudio, 21, 80125, Naples, Italy']","['Paolo Domenico Lambiase,\xa0Alessandra Rossi\xa0&\xa0Silvia Rossi']"
Not Only WEIRD but “Uncanny”? A Systematic Review of Diversity in Human–Robot Interaction Research,"['Tokyo Institute of Technology, Tokyo, Japan', 'Keio University, Yokohama, Japan', 'The University of Waterloo, Waterloo, ON, Canada']","['Katie Seaborn', 'Giulia Barbareschi', 'Shruti Chandra']"
Integrative Robo-Ethics: Uncovering Roboticists’ Attitudes to Ethics and Moving Forward,"['Logic and Philosophy of Science, International University of Languages and Media, Carlo Bo Street, Milan, 20143, Italy', 'Department of Anthropology, Maynooth University, Maynooth, County Kildare, Ireland', 'Intelligent Systems, TU Delft, Van Mourik Broekmanweg 6, Delft, 2628 XE, The Netherlands']","['Antonio Fleres\xa0&\xa0Luisa Damiano', 'Louise Veling', 'Frank Broz']"
From EU Robotics and AI Governance to HRI Research: Implementing the Ethics Narrative,"['Institute for Management Science, TU Wien, Theresianumgasse 27, Vienna, Austria']",['Jesse de Pagter']
"Accounting for Diversity in Robot Design, Testbeds, and Safety Standardization","['eLaw Center for Law and Digital Technologies, Leiden University, Leiden, the Netherlands']",['Eduard Fosch-Villaronga\xa0&\xa0Hadassah Drukarch']
The Making of Gendered Bodies in Human-Robot Interactions,"['Department of Thematic Studies, Division of Gender Studies, Linköping University, Linköping, Sweden']",['Isabel García Velázquez']
"Advancement on Human-Robot Interaction: Perception, Cognitive Architecture and Field Tests","['Department of Industrial Engineering Florence, Florence, Italy']",['Laura Fiorini']
Systematic Review of Affective Computing Techniques for Infant Robot Interaction,"['Department of Neurosciences, Imaging and Clinical Sciences, University G. d’Annunzio of Chieti, Pescara, Italy', 'Next2U s.r.l, Pescara, Italy']","['Chiara Filippini\xa0&\xa0Arcangelo Merla', 'Arcangelo Merla']"
Knowledge Engineering Framework for IoT Robotics Applied to Smart Healthcare and Emotional Well-Being,"['Trialog, Paris, France', 'Erasmus School of Health Policy and Management, Erasmus University Rotterdam, Rotterdam, The Netherlands', 'Department of Industrial Engineering, University of Florence, Florence, Italy', 'The BioRobotics Institute, Scuola Superiore Sant’Anna, Pisa, Italy', 'BlueFrog Robotics, Paris, France', 'Université Paris-Dauphine, Paris, France', 'Fondazione IRCCS Casa Sollievo della Sofferenza, San Giovanni Rotondo, Italy', 'Kyoto University, Kyoto, Japan', 'Kobe University, Kobe, Japan']","['Amelie Gyrard,\xa0Antonio Kung,\xa0Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Estibaliz Arzoz-Fernandez', 'Kasia Tabeau,\xa0Eloise Senges,\xa0Marleen De Mul,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Isabelle Fabbricotti', 'Laura Fiorini,\xa0Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Filippo Cavallo', 'Laura Fiorini,\xa0Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Filippo Cavallo', 'Eloise Senges,\xa0Francesco Giuliani,\xa0Delphine Lefebvre\xa0&\xa0Hiroshi Hoshino', 'Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Denis Guiot', 'Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino,\xa0Daniele Sancarlo\xa0&\xa0Grazia D’Onofrio', 'Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Yasuo Okabe', 'Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Masahiko Tsukamoto']"
What do Older Adults Want from Social Robots? A Qualitative Research Approach to Human-Robot Interaction (HRI) Studies,"['Norges teknisk-naturvitenskapelige universitet, Trondheim, Norway']","['Roger Andre Søraa,\xa0Gunhild Tøndel,\xa0Mark W. Kharas\xa0&\xa0J Artur Serrano']"
"Integrating Social Assistive Robots, IoT, Virtual Communities and Smart Objects to Assist at-Home Independently Living Elders: the MoveCare Project","['Applied Intelligent System Lab, Department of Computer Science, University of Milan, Milano, Italy', 'Machine Perception and Intelligent Robotics Group (MAPIR), Department of System Engineering and Automation, University of Malaga, and Instituto de Investigación Biomédica de Málaga–IBIMA, Malaga, Spain', 'Machine Perception and Interaction Lab, Örebro University, Örebro, Sweden', 'NearLab, Department of Electronics, Information and Bioengineering, Politecnico di Milano, Milano, Italy', 'AB.Acus SRL, Milan, Italy', 'University of Manchester, Manchester, UK', 'IRCCS Istituti Clinici Scientifici Maugeri, University of Milan, Milan, Italy', 'Junta de Extremadura, Merida, Spain', 'Korian, Milan, Italy', 'SignalGeneriX, Limassol, Cyprus', 'EURECAT, Barcelona, Spain', 'University of Oxford, Oxford, UK', 'Smart Com, Ljubjana, Slovenia']","['Matteo Luperto,\xa0Nicola Basilico\xa0&\xa0N. Alberto Borghese', 'Javier Monroy\xa0&\xa0Javier Gonzalez-Jimenez', 'Jennifer Renoux', 'Francesca Lunardini\xa0&\xa0Simona Ferrante', 'Maria Bulgheroni', 'Angelo Cangelosi', 'Matteo Cesari', 'Manuel Cid', 'Aladar Ianes', 'Anastasis Kounoudes', 'David Mari', 'Victor Prisacariu', 'Arso Savanovic']"
"Exploring the Perceptions of Cognitive and Affective Capabilities of Four, Real, Physical Robots with a Decreasing Degree of Morphological Human Likeness","['Department of Mathematics, Computer Science and Physics, Università degli Studi di Udine, Udine, Italy', 'Department of Philosophy, Sociology, Education and Applied Psychology, University of Padova, Padova, Italy', 'Department of Media and Communication, University of Erfurt, Erfurt, Germany']","['Leopoldina Fortunati\xa0&\xa0Giovanni Ferrin', 'Anna Maria Manganelli', 'Joachim Höflich']"
The Role of Humans in Surgery Automation,"['eLaw Center for Law and Digital Technologies, Leiden University, Kamerlingh Onnes Building, Steenschuur 25, 2311 ES, Leiden, The Netherlands']","['Eduard Fosch-Villaronga (PhD MA LLM),\xa0Pranav Khanna,\xa0Hadassah Drukarch\xa0&\xa0Bart Custers (PhD MSc LLM)']"
Expectations of Robots’ Gender Appearances and Personal Factors: A Survey in Japan,"['Department of Media Informatics, Ryukoku University, 1-5 Yokotani, Seta-Ohe-Cho, Otsu, Shiga, 520-2194, Japan', 'School of Child Psychology, Tokyo Future University, 34-12 Senjyu-Akebono, Adachi-ku, Tokyo, 120-0023, Japan']","['Tatsuya Nomura', 'Tomohiro Suzuki']"
User Profiling to Enhance Clinical Assessment and Human–Robot Interaction: A Feasibility Study,"['Department of Industrial Engineering, University of Florence, Florence, Italy', 'The BioRobotics Institute, Scuola Superiore Sant’Anna, Pontedera (Pisa), Italy', 'Department of Excellence in Robotics & AI, Scuola Superiore Sant’Anna, Pisa, Italy', 'The Complex Unit of Geriatrics, Department of Medical Sciences, Fondazione “Casa Sollievo della Sofferenza” – IRCCS, San Giovanni Rotondo, Foggia, Italy', 'Clinical Psychology Service, Health Department, Fondazione IRCCS Casa Sollievo Della Sofferenza, San Giovanni Rotondo, Foggia, Italy']","['Laura Fiorini,\xa0Alessandra Sorrentino,\xa0Erika Rovini\xa0&\xa0Filippo Cavallo', 'Laura Fiorini,\xa0Luigi Coviello,\xa0Gianmaria Mancioppi\xa0&\xa0Filippo Cavallo', 'Laura Fiorini,\xa0Luigi Coviello,\xa0Gianmaria Mancioppi\xa0&\xa0Filippo Cavallo', 'Daniele Sancarlo', 'Filomena Ciccone\xa0&\xa0Grazia D’Onofrio']"
Communication Models in Human–Robot Interaction: An Asymmetric MODel of ALterity in Human–Robot Interaction (AMODAL-HRI),"['TU Wien, Institute of Management Science, Theresianumgasse 27, Vienna, Austria', 'TU Wien, Department of Architecture Theory, Karlsplatz 13, Vienna, Austria']","['Helena Anna Frijns\xa0&\xa0Sabine Theresia Koeszegi', 'Oliver Schürer']"
A Mind-inspired Architecture for Adaptive HRI,"['ISTC-CNR - Institute of Cognitive Sciences and Technologies, National Research Council of Italy, Via S. Martino della Battaglia 44, Rome, Italy']","['Alessandro Umbrico,\xa0Riccardo De Benedictis,\xa0Francesca Fracasso,\xa0Amedeo Cesta,\xa0Andrea Orlandini\xa0&\xa0Gabriella Cortellessa']"
Improving Visual Perception of Artificial Social Companions Using a Standardized Knowledge Representation in a Human-Machine Interaction Framework,"['Instituto Pedro Nunes, Coimbra, Portugal']",['João Quintas']
On the Role of Beliefs and Trust for the Intention to Use Service Robots: An Integrated Trustworthiness Beliefs Model for Robot Acceptance,"['Department of Human Factors, Ulm University, Ulm, Germany', 'Cognitive Psychology Lab, University of Koblenz-Landau, Mainz, Germany']","['Johannes Kraus,\xa0Linda Miller,\xa0Marielène Klumpp,\xa0Franziska Babel,\xa0Julia Merger\xa0&\xa0Martin Baumann', 'David Scholz']"
