Title,Authors,Keywords
"Is Politeness Better than Impoliteness? Comparisons of Robot's Encouragement Effects Toward Performance, Moods, and Propagation","'Kana Higashino', 'Mitsuhiko Kimoto', 'Takamasa Iio', 'Katsunori Shimohara', 'Masahiro Shiomi'","'Human–robot interaction', 'Politeness', 'Praise'"
Audio–Visual Predictive Processing in the Perception of Humans and Robots,"'Busra Sarigul', 'Burcu A. Urgen'","'Prediction', 'Expectation violation', 'Human–robot interaction', 'Audio–visual mismatch'"
Codifying Wildness: Wild Behaviour for Improving Human-Robot Interaction,"'Esther Aguado', 'Claudio Rossi', 'Pablo Gil'","'Wildness', 'Human-robot interaction', 'Pet robots'"
Human–Robot Cooperation in Economic Games: People Show Strong Reciprocity but Conditional Prosociality Toward Robots,"'Te-Yi Hsieh', 'Bishakha Chaudhury', 'Emily S. Cross'","'Human–robot interaction', 'Human–robot cooperation', 'Prisoner’s dilemma games', 'Rapoport’s K-index', 'Reciprocity'"
A Systematic Literature Review of Decision-Making and Control Systems for Autonomous and Social Robots,"'Marcos Maroto-Gómez', 'Fernando Alonso-Martín', 'María Malfaz', 'Álvaro Castro-González', 'José Carlos Castillo', 'Miguel Ángel Salichs'","'Decision-making system', 'Action selection methods', 'Social robots', 'Autonomous robots', 'Human–robot interaction'"
Mind Perception in HRI: Exploring Users’ Attribution of Mental and Emotional States to Robots with Different Behavioural Styles,"'Ilenia Cucciniello', 'Sara Sangiovanni', 'Gianpaolo Maggi', 'Silvia Rossi'","'Mind attribution', 'Interaction style', 'Robot behaviour'"
Process of Escalating Robot Abuse in Children,"'Sachie Yamada', 'Takayuki Kanda', 'Kanako Tomita'","'Robot abuse', 'Process of abuse', 'Qualitative research', 'TEM'"
What’s Best for Customers: Empathetic Versus Solution-Oriented Service Robots,"'Dewi Tojib', 'Elahe Abdi', 'Leimin Tian', 'Liana Rigby', 'James Meads', 'Tanya Prasad'","'Service robots', 'Empathy', 'Social robotic', 'Human–robot interaction', 'Multimodal interaction'"
Exploring the Future Development of Artificial Intelligence (AI) Applications in Chatbots: A Bibliometric Analysis,"'Li Liu', 'Vincent G. Duffy'","'Chatbot', 'Artificial intelligence', 'Bibliometric analysis', 'Co-citation analysis'"
Face to Face with a Sexist Robot: Investigating How Women React to Sexist Robot Behaviors,"'Diljot Garcha', 'Denise Geiskkovitch', 'Raquel Thiessen', 'Susan Prentice', 'Kerstin Fischer', 'James Young'","'Social robots', 'Gender studies', 'Studies', 'Human–robot interaction'"
New Short Scale to Measure Workers’ Attitudes Toward the Implementation of Cooperative Robots in Industrial Work Settings: Instrument Development and Exploration of Attitude Structure,"'Benedikt Leichtmann', 'Johanna Hartung', 'Oliver Wilhelm', 'Verena Nitsch'","'Technology acceptance', 'Organizational change', 'Network analysis', 'Manufacturing', 'Human-robot interaction', 'Innovation'"
The Use of Robots in the Workplace: Conclusions from a Health Promoting Intervention Using Social Robots,"'Sara L. Lopes', 'Aristides I. Ferreira', 'Rui Prada'","'Human–robot interaction', 'Workplace intervention', 'Health intervention'"
NeuroCERIL: Robotic Imitation Learning via Hierarchical Cause-Effect Reasoning in Programmable Attractor Neural Networks,"'Gregory P. Davis', 'Garrett E. Katz', 'Rodolphe J. Gentili', 'James A. Reggia'","'Imitation learning', 'Causal reasoning', 'Programmable neural networks', 'Cognitive control', 'Working memory', 'Symbolic processing'"
The Impact of Socially Assistive Robots on Human Flourishing in the Context of Dementia: A Scoping Review,"'Erika Fardeau', 'Abdou Simon Senghor', 'Eric Racine'","'Dementia', 'Socially assistive robots', 'Human flourishing', 'Artificial intelligence', 'Ethics'"
The Uncanny Effect of Speech: The Impact of Appearance and Speaking on Impression Formation in Human–Robot Interactions,"'Neelu Gurung', 'Janie Busby Grant', 'Damith Hearth'","'Uncanny', 'Uncanny effect', 'Uncanny valley effect', 'Speaking voice', 'Appearances', 'Speech'"
Expressive Elements of Lifelike Machines,"'Julia Zamboni', 'Dianne Magalhães Viana', 'Luis Rodrigues', 'Mia Consalvo'","'Lifelike', 'Animacy', 'Agency', 'Robotic Art', 'Artificial Intelligence', 'Social Robotics', 'Anthropomorphism'"
A Trained Humanoid Robot can Perform Human-Like Crossmodal Social Attention and Conflict Resolution,"'Di Fu', 'Fares Abawi', 'Hugo Carneiro', 'Matthias Kerzel', 'Ziwei Chen', 'Erik Strahl', 'Xun Liu', 'Stefan Wermter'","'Crossmodal social attention', 'Eye gaze', 'Conflict processing', 'Saliency prediction model', 'iCub robot'"
Robot Dialog System in the Context of Hospital Receptionist and its Demonstration,"'Eui Jun Hwang', 'Byeong Kyu Ahn', 'Jong Yoon Lim', 'Bruce A. Macdonald', 'Ho Seok Ahn'","'Human–robot interaction', 'Social robot', 'Dialogue system', 'Deep learning', 'Machine learning'"
Detecting Lies is a Child (Robot)’s Play: Gaze-Based Lie Detection in HRI,"'Dario Pasquali', 'Jonas Gonzalez-Billandon', 'Alexander Mois Aroyo', 'Giulio Sandini', 'Alessandra Sciutti', 'Francesco Rea'","'Lie detection', 'Machine learning', 'Adaptation', 'Human-robot interaction', 'Entertainment'"
Real-Time Social Robot’s Responses to Undesired Interactions Between Children and their Surroundings,"'Ahmad Yaser Alhaddad', 'John-John Cabibihan', 'Andrea Bonarini'","'Children', 'Aggression', 'Safety', 'Interaction', 'Companion robot', 'Applied machine learning', 'Autism'"
Video Captioning Based on Both Egocentric and Exocentric Views of Robot Vision for Human-Robot Interaction,"'Soo-Han Kang', 'Ji-Hyeong Han'","'Human robot interaction', 'Deep learning', 'Video captioning', 'Egocentric video'"
Factors for Personalization and Localization to Optimize Human–Robot Interaction: A Literature Review,"'Norina Gasteiger', 'Mehdi Hellou', 'Ho Seok Ahn'","'Human–robot interaction', 'Personalization', 'Design', 'Localization', 'Culturalization'"
Socially Aware Robot Obstacle Avoidance Considering Human Intention and Preferences,"'Trevor Smith', 'Yuhao Chen', 'Nathan Hewitt', 'Boyi Hu', 'Yu Gu'","'Obstacle avoidance', 'Human motion modeling', 'Cooperative markov decision process', 'Socially aware robot', 'Human robot interaction'"
Dynamic Iranian Sign Language Recognition Using an Optimized Deep Neural Network: An Implementation via a Robotic-Based Architecture,"'Salar Basiri', 'Alireza Taheri', 'Ali F. Meghdari', 'Mehrdad Boroushaki', 'Minoo Alemi'","'Deep Neural Network', 'Pattern recognition', 'Sign language recognition', 'Human–Robot interaction', 'Machine Learning', 'Children with a hearing problem'"
Experience with an Affective Robot Assistant for Children with Hearing Disabilities,"'Pinar Uluer', 'Hatice Kose', 'Elif Gumuslu', 'Duygun Erol Barkana'","'Social robots', 'Human-robot interaction', 'Machine learning', 'Deep learning', 'Emotion recognition', 'Physiological signals'"
A Communicative Perspective on Human–Robot Collaboration in Industry: Mapping Communicative Modes on Collaborative Scenarios,"'Stephanie Gross', 'Brigitte Krenn'","'Communicative signals', 'Human–robot interaction', 'Cobots', 'Collaborative industrial human–cobot scenarios'"
A Novel Mirror Neuron Inspired Decision-Making Architecture for Human–Robot Interaction,"'Mehdi Sobhani', 'Jim Smith', 'Anthony Pipe', 'Angelika Peer'","'Decision-making', 'Decision policy', 'Joint action', 'Human–robot interaction'"
(Hu)man-Like Robots: The Impact of Anthropomorphism and Language on Perceived Robot Gender,"'Eileen Roesler', 'Maris Heuring', 'Linda Onnasch'","'Anthropomorphism', 'Appearance', 'Gender associations', 'Language', 'Male-robot bias'"
A Two-Tier GAN Architecture for Conditioned Expressions Synthesis on Categorical Emotions,"'Paolo Domenico Lambiase', 'Alessandra Rossi', 'Silvia Rossi'","'Generative adversarial networks', 'Conditional emotion expression', 'Action units', 'Affective computing', 'Social robots'"
Not Only WEIRD but “Uncanny”? A Systematic Review of Diversity in Human–Robot Interaction Research,"'Katie Seaborn', 'Giulia Barbareschi', 'Shruti Chandra'","'Intersectionality', 'Systematic review', 'WEIRD research', 'Generalizability', 'Diversity', 'Human–robot interaction'"
Integrative Robo-Ethics: Uncovering Roboticists’ Attitudes to Ethics and Moving Forward,"'Antonio Fleres', 'Louise Veling', 'Frank Broz', 'Luisa Damiano'","'Roboethics', 'Social robotics', 'Regulation'"
From EU Robotics and AI Governance to HRI Research: Implementing the Ethics Narrative,'Jesse de Pagter',"'European Union', 'Human-Robot Interaction', 'Robot and AI Ethics', 'Robotics and AI Governance', 'Trust in Robots'"
"Accounting for Diversity in Robot Design, Testbeds, and Safety Standardization","'Eduard Fosch-Villaronga', 'Hadassah Drukarch'","'Exoskeletons', 'Gender', 'Diversity', 'Intersectionality and technology', 'Inclusive design', 'Exclusion', 'Access', 'Discrimination'"
The Making of Gendered Bodies in Human-Robot Interactions,'Isabel García Velázquez',"'Anthropomorphic robot', 'Body', 'Gender', 'Human-robot interaction', 'Relationality', 'Alive genders', 'Roboticists'"
Systematic Review of Affective Computing Techniques for Infant Robot Interaction,"'Chiara Filippini', 'Arcangelo Merla'","'Infant-robot interaction', 'Affective computing', 'Developmental robotics', 'Affective states', 'Psychophysiology'"
Knowledge Engineering Framework for IoT Robotics Applied to Smart Healthcare and Emotional Well-Being,"'Amelie Gyrard', 'Kasia Tabeau', 'Laura Fiorini', 'Antonio Kung', 'Eloise Senges', 'Marleen De Mul', 'Francesco Giuliani', 'Delphine Lefebvre', 'Hiroshi Hoshino', 'Isabelle Fabbricotti', 'Daniele Sancarlo', 'Grazia D’Onofrio', 'Filippo Cavallo', 'Denis Guiot', 'Estibaliz Arzoz-Fernandez', 'Yasuo Okabe', 'Masahiko Tsukamoto'","'Co-creation', 'Robotics', 'Smart health', 'Emotional care', 'Ageing', 'Elderly', 'Internet of robotic things', 'Cloud robotic', 'Artificial intelligence', 'Ontology', 'Semantic reasoning', 'Semantic web technologies', 'Reusable knowledge engineering', 'Semantic web of things (SWoT)', 'Knowledge directory service', 'Body of knowledge'"
What do Older Adults Want from Social Robots? A Qualitative Research Approach to Human-Robot Interaction (HRI) Studies,"'Roger Andre Søraa', 'Gunhild Tøndel', 'Mark W. Kharas', 'J Artur Serrano'","'Older adults', 'Gerontechnology', 'Social robots', 'Norway', 'Participatory design', 'Qualitative method'"
"Integrating Social Assistive Robots, IoT, Virtual Communities and Smart Objects to Assist at-Home Independently Living Elders: the MoveCare Project","'Matteo Luperto', 'Javier Monroy', 'Jennifer Renoux', 'Francesca Lunardini', 'Nicola Basilico', 'Maria Bulgheroni', 'Angelo Cangelosi', 'Matteo Cesari', 'Manuel Cid', 'Aladar Ianes', 'Javier Gonzalez-Jimenez', 'Anastasis Kounoudes', 'David Mari', 'Victor Prisacariu', 'Arso Savanovic', 'Simona Ferrante', 'N. Alberto Borghese'","'Socially assistive robots', 'IoT network', 'Ambient Assisted Living', 'Monitoring', 'Virtual communities'"
"Exploring the Perceptions of Cognitive and Affective Capabilities of Four, Real, Physical Robots with a Decreasing Degree of Morphological Human Likeness","'Leopoldina Fortunati', 'Anna Maria Manganelli', 'Joachim Höflich', 'Giovanni Ferrin'","'Robot appearance', 'Theories of mind', 'Theories of emotions', 'Theory of social representations', 'Uncanny valley theory'"
The Role of Humans in Surgery Automation,"'Eduard Fosch-Villaronga', 'Pranav Khanna', 'Hadassah Drukarch', 'Bart Custers'","'Healthcare innovation', 'Robot assisted surgery', 'Stakeholder responsibility', 'Liability', 'Management'"
Expectations of Robots’ Gender Appearances and Personal Factors: A Survey in Japan,"'Tatsuya Nomura', 'Tomohiro Suzuki'","'Robots', 'Gender stereotype', 'Negative attitudes', 'Anxiety', 'Personal factors'"
User Profiling to Enhance Clinical Assessment and Human–Robot Interaction: A Feasibility Study,"'Laura Fiorini', 'Luigi Coviello', 'Alessandra Sorrentino', 'Daniele Sancarlo', 'Filomena Ciccone', 'Grazia D’Onofrio', 'Gianmaria Mancioppi', 'Erika Rovini', 'Filippo Cavallo'","'User profiling', 'Social assistive robot', 'Multimodal sensors', 'Robot behavioral model'"
Communication Models in Human–Robot Interaction: An Asymmetric MODel of ALterity in Human–Robot Interaction (AMODAL-HRI),"'Helena Anna Frijns', 'Oliver Schürer', 'Sabine Theresia Koeszegi'","'Human–Robot interaction', 'Communication theory', 'Communication models', 'Interaction design', 'Human–Machine communication'"
A Mind-inspired Architecture for Adaptive HRI,"'Alessandro Umbrico', 'Riccardo De Benedictis', 'Francesca Fracasso', 'Amedeo Cesta', 'Andrea Orlandini', 'Gabriella Cortellessa'","'Assistant Robotics', 'Mind-inspired architectures for social robots', 'Engaging and personalized HRI', 'Multi-modal interaction'"
Improving Visual Perception of Artificial Social Companions Using a Standardized Knowledge Representation in a Human-Machine Interaction Framework,'João Quintas',"'Human-machine interaction', 'Context', 'Active and assisted living', 'Artificial social companions', 'Adaptive systems'"
On the Role of Beliefs and Trust for the Intention to Use Service Robots: An Integrated Trustworthiness Beliefs Model for Robot Acceptance,"'Johannes Kraus', 'Linda Miller', 'Marielène Klumpp', 'Franziska Babel', 'David Scholz', 'Julia Merger', 'Martin Baumann'","'Trust in robots', 'Acceptance modeling', 'Intention to use', 'Beliefs', 'Theory of planned behavior', 'UTAUT'"
Co-designing the Embodiment of a Minimalist Social Robot to Encourage Hand Hygiene Practises Among Children in India,"'Devasena Pasupuleti', 'Sreejith Sasidharan', 'Gayathri Manikutty', 'Anand M. Das', 'Praveen Pankajakshan', 'Sidney Strauss'","'Child–robot interaction (CRI)', 'Social robot', 'Handwashing', 'Co-design', 'Human–robot interaction (HRI)'"
"Social Influence Under Uncertainty in Interaction with Peers, Robots and Computers","'Joshua Zonca', 'Anna Folsø', 'Alessandra Sciutti'","'Social influence', 'Conformity', 'Prior beliefs', 'Human–human interaction', 'Human–robot interaction'"
The Hitchhiker’s Guide to a Credible and Socially Present Robot: Two Meta-Analyses of the Power of Social Cues in Human–Robot Interaction,"'Kun Xu', 'Mo Chen', 'Leping You'","'Social cues', 'Social robots', 'Social presence', 'Trust', 'Meta-analysis', 'Computers are Social\nActors paradigm', 'Artificial intelligence'"
Evaluation of User Experience in Human–Robot Interaction: A Systematic Literature Review,"'Ainhoa Apraiz', 'Ganix Lasa', 'Maitane Mazmela'","'Human–robot collaboration (HRC)', 'Human–robot interaction (HRI)', 'User experience (UX)', 'Systematic literature review (SLR)', 'Human factors'"
PRTIRL Based Socially Adaptive Path Planning for Mobile Robots,"'Zhiyu Ding', 'Jie Liu', 'Wenzheng Chi', 'Jiankun Wang', 'Guodong Chen', 'Lining Sun'","'Socially Adaptive Path Planning', 'IRL', 'Non-homotopic Path Optimization', 'RRT*'"
Toward Error-Tolerant Robot Navigation: Sequential Inducement Based on Intent Conveyance from Robot to Human and Its Achievement,"'Mitsuhiro Kamezaki', 'Ryosuke Kono', 'Ayano Kobayashi', 'Hayato Yanagawa', 'Tomoya Onishi', 'Yusuke Tsuburaya', 'Moondeep Shrestha', 'Shigeki Sugano'","'Autonomous mobile robot', 'Human–robot collaboration', 'Inducement', 'Human-state estimation'"
Utilizing an Emotional Robot Capable of Lip-Syncing in Robot-Assisted Speech Therapy Sessions for Children with Language Disorders,"'Alireza Esfandbod', 'Zeynab Rokhi', 'Ali F. Meghdari', 'Alireza Taheri', 'Minoo Alemi', 'Mahdieh Karimi'","'Social robots', 'Child-robot interaction (CRI)', 'Children with language disorders', 'Facial expression recognition', 'Convolutional neural network (CNN)', 'Lip-syncing', 'Speech therapy'"
Can Robots have Personal Identity?,'Marcos Alonso',"'Robot ethics', 'Personal identity', 'Moral status', 'Relational view'"
DMP-Based Reactive Robot-to-Human Handover in Perturbed Scenarios,"'Francesco Iori', 'Gojko Perovic', 'Francesca Cini', 'Angela Mazzeo', 'Egidio Falotico', 'Marco Controzzi'","'Human-robot-interaction', 'Handover', 'Perturbation', 'Dynamical-movement-primitives'"
Voice Over Body? Older Adults’ Reactions to Robot and Voice Assistant Facilitators of Group Conversation,"'Katie Seaborn', 'Takuya Sekiguchi', 'Seiki Tokunaga', 'Norihisa P. Miyake', 'Mihoko Otake-Matsuura'","'Intelligent agents', 'Voice assistants', 'Multi-user', 'Older adults', 'Group conversation', 'Agent embodiment'"
Mechatronic Design of a Self-Contained Dexterous Robotic Hand for Gestural Communication,"'Miguel Hernando', 'Carlos Morillo', 'Diego Guffanti', 'Alberto Brunete'","'Anthropomorphic movements', 'Mechatronic hand', 'Dexterous hand', 'Gestural communication'"
Supporting Remote Social Robot Design Collaboration with Online Canvases: Lessons Learned from Facilitators’ and Participants’ Experiences,"'Aino Ahtinen', 'Kirsikka Kaipainen', 'Salla Jarske', 'Kaisa Väänänen'","'Online collaboration', 'Collaborative design', 'Interaction', 'Teamwork', 'Human-centred design', 'Social robots', 'Facilitation'"
Body Form Modulates the Prediction of Human and Artificial Behaviour from Gaze Observation,"'Michele Scandola', 'Emily S. Cross', 'Nathan Caruana', 'Emmanuele Tidoni'","'Gaze perception', 'Body perception', 'Action prediction', 'Human–robot interaction', 'Mentalising'"
Gendered Actions with a Genderless Robot: Gender Attribution to Humanoid Robots in Action,"'Gaye Aşkın', 'İmge Saltık', 'Tuğçe Elver Boz', 'Burcu A. Urgen'","'Gender attribution', 'Social-robots', 'Gender stereotype', 'Actions', 'Human–robot interaction'"
Leader–Follower Dynamics in Complex Obstacle Avoidance Task,"'Jernej Čamernik', 'Rebeka Kropivšek Leskovar', 'Tadej Petrič'","'Human collaboration', 'leader–follower dynamics', 'Role allocation', 'Obstacle avoidance', 'Human-robot interaction'"
Are Robots to be Created in Our Own Image? Testing the Ethical Equivalence of Robots and Humans,"'Dieter Vanderelst', 'Corinne Jorgenson', 'Ali I. Ozkes', 'Jurgen Willems'","'Ethical robots', 'Human-robot interaction', 'Social Robots'"
Robotic Gaze Responsiveness in Multiparty Teamwork,"'Filipa Correia', 'Joana Campos', 'Francisco S. Melo', 'Ana Paiva'","'Human–robot teamwork', 'Human–robot multiparty interaction', 'Robotic gaze', 'Human–robot coordination'"
The Phenotypes of Anthropomorphism and the Link to Personality Traits,"'Nicolas Spatola', 'Serena Marchesi', 'Agnieszka Wykowska'","'Anthropomorphism', 'Personality', 'Attributions', 'Human-Robot Interaction'"
Perceived Moral Patiency of Social Robots: Explication and Scale Development,"'Jaime Banks', 'Nicholas David Bowman'","'social robots', 'moral patiency', 'scale development', 'moral foundations theory'"
"Effects of Head Shape, Facial Features, Camera, and Gender on the Perceptions of Rendered Robot Faces","'Chien-Hsiung Chen', 'Xiaoyu Jia'","'Social robot', 'Rendered robot face', 'Head shapes', 'Facial features', 'Human–robot interaction', 'Users’ perception'"
Robots in Games,"'Diogo Rato', 'Filipa Correia', 'André Pereira', 'Rui Prada'","'Human–robot interaction', 'Social robotics', 'Games', 'Review'"
Are Retail Customers Ready for Service Robot Assistants?,"'Irene Roozen', 'Mariet Raedts', 'Anna Yanycheva'","'service robot', 'service quality', 'human-robot interaction', 'attitude towards robots', 'SERVPERF', 'NARS'"
“I Believe AI Can Learn from the Error. Or Can It Not?”: The Effects of Implicit Theories on Trust Repair of the Intelligent Agent,"'Taenyun Kim', 'Hayeon Song'","'Trust repair', 'Artificial intelligence', 'Implicit theories', 'Apology attribution', 'Anthropomorphism'"
Human-Like Movements of Industrial Robots Positively Impact Observer Perception,"'Damian Hostettler', 'Simon Mayer', 'Christian Hildebrand'","'HRI', 'Industrial robots', 'Articulated robot', 'Collaborative robots', 'Human-likeness', 'Anthropomorphism', 'Acceptance', 'Movements'"
Adaptive Social Planner to Accompany People in Real-Life Dynamic Environments,"'Ely Repiso', 'Anaís Garrell', 'Alberto Sanfeliu'","'Robot navigation', 'Human-robot accompaniment', 'Human-robot interaction', 'Human-robot collaboration', 'Human-robot group formation'"
Projective Anthropomorphism as a Dialogue with Ourselves,'Raya A. Jones',"'Anthropomorphism', 'Psychological projection', 'Human–robot interaction'"
"Eye Machines: Robot Eye, Vision and Gaze","'Chris Chesher', 'Fiona Andreallo'","'Eye', 'Vision', 'Gaze', 'Social robots', 'Cultural Studies', 'Sensors', 'Humanoid robots', 'Biomorphism', 'Anthropomorphism', 'Cinema', 'Science fiction'"
"Human–Robot Companionship: Cultural Ideas, Limitations, and Aspirations. An Analysis of Sex Robot Marketing Videos",'Fiona Andreallo',"'Human–robot interaction', 'Human–robot relationships', 'Robot companion', 'Companionship', 'Sex robot', 'Stereotype', 'Feminine', 'Social semiotics', 'Cultural studies', 'Robot futures', 'Robot design'"
"Three Responses to Anthropomorphism in Social Robotics: Towards a Critical, Relational, and Hermeneutic Approach",'Mark Coeckelbergh',"'Social robotics', 'Human–robot relations', 'Anthropomorphism', 'Anthropomorphization', 'Instrumentalism', 'Posthumanism', 'Hermeneutics', 'Relational approach', 'Power'"
Negotiating anthropomorphism in the Ai-Da robot,'Bojana Romic',"'Robot', 'Anthropomorphism', 'Ai-Da', 'Robotic art', 'Drawing robot', 'Creativity'"
Robots and the Possibility of Humanistic Care,'Simon Coghlan',"'Care robots', 'Humanistic care', 'Aged care', 'Health care', 'Ethics', 'Anthropomorphism.'"
Saving Private Robot: Risks and Advantages of Anthropomorphism in Agent-Soldier Teams,"'Massimiliano L. Cappuccio', 'Jai C. Galliott', 'Eduardo B. Sandoval'","'Autonomous artificial agents', 'Autonomy', 'Hybrid military teams', 'Human–agent interaction', 'Social cognition', 'Social robotics', 'Social psychology', 'Situational awareness', 'Military drone', 'Autonomous vehicle', 'Value-sensitive design'"
"Using Online Customer Reviews to Classify, Predict, and Learn About Domestic Robot Failures","'Shanee Honig', 'Alon Bartal', 'Yisrael Parmet', 'Tal Oron-Gilad'","'Robot failures', 'Failure types', 'Home robots', 'Domestic robots', 'Data-driven design', 'Failure perception'"
Learning-Based Compensation-Corrective Control Strategy for Upper Limb Rehabilitation Robots,"'Peimin Xie', 'Chengqi Lin', 'Siqi Cai', 'Longhan Xie'","'Upper limb rehabilitation', 'Compensatory movements', 'Human-robot interaction', 'Learning from demonstration'"
The Right (Wo)Man for the Job? Exploring the Role of Gender when Challenging Gender Stereotypes with a Social Robot,"'Alessio Galatolo', 'Gaspar I. Melsión', 'Iolanda Leite', 'Katie Winkle'","'Human–robot interaction', 'Social robotics', 'Credibility', 'Gender', 'Persuasive technology', 'Robot ethics'"
Human-Likeness of Feedback Gestures Affects Decision Processes and Subjective Trust,"'Lorenzo Parenti', 'Adam W. Lukomski', 'Davide De Tommaso', 'Marwen Belkaid', 'Agnieszka Wykowska'","'Human-like behavior', 'Social feedback', 'Human–robot interaction', 'Trust in HRI'"
Infants’ Prediction of Humanoid Robot’s Goal-Directed Action,"'F. Manzi', 'M. Ishikawa', 'C. Di Dio', 'S. Itakura', 'T. Kanda', 'H. Ishiguro', 'D. Massaro', 'A. Marchetti'","'Infants', 'Goal-directed action', 'Action prediction', 'Humanoid robot', 'Robot’s face'"
Reducing Computational Cost During Robot Navigation and Human–Robot Interaction with a Human-Inspired Reinforcement Learning Architecture,"'Rémi Dromnelle', 'Erwan Renaudo', 'Mohamed Chetouani', 'Petros Maragos', 'Raja Chatila', 'Benoît Girard', 'Mehdi Khamassi'","'Strategy coordination', 'Cognitive monitoring', 'Reinforcement learning', 'Robot cognitive architecture', 'Navigation', 'HRI', 'Neuro-inspiration'"
Toward a Critical Posthumanism for Social Robotics,'Marco Dehnert',"'Social robotics', 'Posthumanism', 'Critical/cultural studies', 'Anthropocene', 'Social-relational turn', 'Genesis'"
What do Members of Parliament in India Think of Robots? Validation of the Frankenstein Syndrome Questionnaire and Comparison with Other Population Groups,"'Jaishankar Bharatharaj', 'Senthil Kumar Sasthan Kutty', 'Achudhan Munisamy', 'Christian U. Krägeloh'","'Robots', 'Attitudes', 'Frankenstein Syndrome Questionnaire', 'Validation', 'Members of Parliament', 'India'"
A Comprehensive Survey on Single-Person Pose Estimation in Social Robotics,"'Feng Zhang', 'Xiatian Zhu', 'Chen Wang'","'Single-person pose estimation', 'Social robotics', 'Human–robot interaction'"
"MoTiS Parameters for Expressive Multi-Robot Systems: Relative Motion, Timing, and Spacing","'A. Bacula', 'H. Knight'","'Expressivity', 'Multi-robot systems', 'Social robotics', 'Human-robot interaction'"
Social Telecommunication Experience with Full-Body Ownership Humanoid Robot,"'Myeongul Jung', 'Jejoong Kim', 'Kyungsik Han', 'Kwanguk (Kenny) Kim'","'Physical Beaming System', 'Embodied Interaction', 'Humanoid Robot', 'Social and Emotional Interaction'"
Effect of Robot’s Listening Attitude Change on Self-disclosure of the Elderly,"'Yoshiki Nakamura', 'Hiroyuki Umemuro'","'Human–robot communication', 'Interaction design', 'Self-disclosure', 'Elderly care', 'Self-esteem'"
The Transition of Robot Identity from Partner to Competitor and Its Implications for Human–Robot Interaction,"'Danni Yang', 'Xianyou He'","'Human–robot interaction', 'Competition', 'Schadenfreude', 'Human-likeness'"
