Title,Affiliation,Authors,Coordinates
Ethics 4.0: Ethical Dilemmas in Healthcare Mediated by Social Robots,"'ISCTE-Instituto Universitário de Lisboa, CIS-IUL, Lisboa, Portugal', 'Psychology Research Centre (CIP), University of Algarve, Faro, Portugal'","'Antonio Soares,\xa0Nuno Piçarra,\xa0Raquel Oliveira\xa0&\xa0Patrícia Arriaga', 'Jean-Christophe Giger'","[(38.7485846, -9.154006646492292), (37.0162727, -7.9351771)]"
"Is Politeness Better than Impoliteness? Comparisons of Robot's Encouragement Effects Toward Performance, Moods, and Propagation","'ATR, Kyoto, Japan', 'Doshisha University, Kyoto, Japan'","'Kana Higashino,\xa0Mitsuhiko Kimoto,\xa0Takamasa Iio\xa0&\xa0Masahiro Shiomi', 'Kana Higashino,\xa0Takamasa Iio\xa0&\xa0Katsunori Shimohara'","[(34.7445855, 135.7654296), (35.0304815, 135.76063700464476)]"
Audio–Visual Predictive Processing in the Perception of Humans and Robots,"'Leibniz-Institut für Wissensmedien, Tübingen, Germany', 'Department of Psychology, Bilkent University, Ankara, Turkey', 'Interdisciplinary Neuroscience Program, Bilkent University, Ankara, Turkey', 'Aysel Sabuncu Brain Research Center, National Magnetic Resonance Imaging Research Center (UMRAM), Ankara, Turkey'","'Busra Sarigul', 'Burcu A. Urgen', 'Burcu A. Urgen', 'Burcu A. Urgen'","[(48.5246575, 9.0547112), (39.87046905, 32.753919338337425), (39.87046905, 32.753919338337425), (39.8732421, 32.74594238596953)]"
Codifying Wildness: Wild Behaviour for Improving Human-Robot Interaction,"'Center for Automation and Robotics, Universidad Politecnica de Madrid-CSIC, 2, Jose Gutierrez Abscal, 28006, Madrid, Madrid, Spain', 'Universidad Europea de Madrid, 10587, Madrid, Madrid, Spain'","'Esther Aguado\xa0&\xa0Claudio Rossi', 'Pablo Gil'","[(40.3132121, -3.4838180552431464), (40.3727017, -3.918582322575328)]"
Human–Robot Cooperation in Economic Games: People Show Strong Reciprocity but Conditional Prosociality Toward Robots,"'Institute of Neuroscience and Psychology, University of Glasgow, Glasgow, Scotland, UK', 'Department of Cognitive Science, Level 3, Australian Hearing Hub, Macquarie University, Sydney, NSW, 2109, Australia', 'Department of Humanities, Social and\nPolitical Sciences, ETH Zurich, Switzerland'","'Te-Yi Hsieh,\xa0Bishakha Chaudhury\xa0&\xa0Emily S. Cross', 'Emily S. Cross', 'Emily S. Cross'","[(55.872315349999994, -4.289219112981823), (-33.776512, 151.11177596694534), (47.40832745, 8.507563966360525)]"
A Systematic Literature Review of Decision-Making and Control Systems for Autonomous and Social Robots,"'Systems Engineering and Automation Department, University Carlos III of Madrid, Butaque, 15, Leganés, 28912, Madrid, Spain'","'Marcos Maroto-Gómez,\xa0Fernando Alonso-Martín,\xa0María Malfaz,\xa0Álvaro Castro-González,\xa0José Carlos Castillo\xa0&\xa0Miguel Ángel Salichs'","[(40.3518482, -3.7611478)]"
Mind Perception in HRI: Exploring Users’ Attribution of Mental and Emotional States to Robots with Different Behavioural Styles,"'Department of Electrical Engineering and Information Technologies, University of Naples Federico II, Via Claudio 80, 80125, Naples, Italy', 'Department of Psychology, University of Campania Luigi Vanvitelli, Viale Ellittico, 31, 81100, Caserta, Italy'","'Ilenia Cucciniello,\xa0Sara Sangiovanni\xa0&\xa0Silvia Rossi', 'Gianpaolo Maggi'","[('', ''), (41.0690915, 14.3259027)]"
Process of Escalating Robot Abuse in Children,"'Tokai University, Kanagawa, Japan', 'Kyoto University, Kyoto, Japan', 'ATR, Kyoto, Japan'","'Sachie Yamada', 'Sachie Yamada\xa0&\xa0Takayuki Kanda', 'Sachie Yamada,\xa0Takayuki Kanda\xa0&\xa0Kanako Tomita'","[(35.3602755, 139.2732334), (35.0234513, 135.7798129), (34.7445855, 135.7654296)]"
What’s Best for Customers: Empathetic Versus Solution-Oriented Service Robots,"'Business School, Monash University, Wellington Rd, Clayton, VIC, 3168, Australia', 'Faculty of Engineering, Monash University, Alliance Ln, Clayton, VIC, 3168, Australia'","'Dewi Tojib', 'Elahe Abdi,\xa0Leimin Tian,\xa0Liana Rigby,\xa0James Meads\xa0&\xa0Tanya Prasad'","[(-37.9154576, 145.1356034), (-37.9094554, 145.1343749)]"
Exploring the Future Development of Artificial Intelligence (AI) Applications in Chatbots: A Bibliometric Analysis,"'School of Maritime Economics and Management, Dalian Maritime University, No.1 Linghai Road, Gaoxinyuan District, Dalian City, Liaoning Province, People’s Republic of China', 'School of Industrial Engineering, Purdue University, West Lafayette, USA'","'Li Liu', 'Vincent G. Duffy'","[(38.870110600000004, 121.52307012420691), (40.430028, -86.92642114650494)]"
Face to Face with a Sexist Robot: Investigating How Women React to Sexist Robot Behaviors,"'Computer Science, University of Manitoba, Winnipeg, Canada', 'Computing and Software, McMaster University, Hamilton, Canada', 'Sociology, University of Manitoba, Winnipeg, Canada', 'Design and Communication, University of Southern Denmark, Odense, Denmark'","'Diljot Garcha,\xa0Raquel Thiessen\xa0&\xa0James Young', 'Denise Geiskkovitch', 'Susan Prentice', 'Kerstin Fischer'","[(49.8091536, -97.13304179007197), (43.263939699999995, -79.917825231868), (49.8091536, -97.13304179007197), (55.367853249999996, 10.42805340701966)]"
New Short Scale to Measure Workers’ Attitudes Toward the Implementation of Cooperative Robots in Industrial Work Settings: Instrument Development and Exploration of Attitude Structure,"'Robopsychology Lab, Johannes Kepler University Linz, Altenberger Str. 69, Linz, 4040, Austria', 'Institute of Industrial Engineering and Ergonomics, RWTH Aachen University, Eilfschornsteinstr. 18, Aachen, 52062, Germany', 'Department of Psychology, University of Bonn, Kaiser-Karl-Ring 9, Bonn, 53111, Germany', 'Institute of Psychology and Education, Ulm University, Albert-Einstein-Allee 47, Ulm, 89081, Germany'","'Benedikt Leichtmann', 'Benedikt Leichtmann\xa0&\xa0Verena Nitsch', 'Johanna Hartung', 'Johanna Hartung\xa0&\xa0Oliver Wilhelm'","[(48.337494449999994, 14.322783086710771), (50.7776701, 6.08068503289304), (50.74569875, 7.093356693525543), (48.4194121, 9.944829309399806)]"
The Use of Robots in the Workplace: Conclusions from a Health Promoting Intervention Using Social Robots,"'Instituto Universitário de Lisboa (Iscte-IUL) & Business Research Unit (BRU-IUL), Iscte-IUL, Lisbon, Portugal', 'INESC-ID & Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal'","'Sara L. Lopes\xa0&\xa0Aristides I. Ferreira', 'Rui Prada'","[(38.7485846, -9.154006646492292), (38.74792145, -9.153768696778986)]"
NeuroCERIL: Robotic Imitation Learning via Hierarchical Cause-Effect Reasoning in Programmable Attractor Neural Networks,"'Department of Computer Science, University of Maryland, College Park, MD, USA', 'Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA', 'Department of Kinesiology, University of Maryland, College Park, MD, USA'","'Gregory P. Davis\xa0&\xa0James A. Reggia', 'Garrett E. Katz', 'Rodolphe J. Gentili'","[(39.0568829, -76.8751037), (43.017112850000004, -76.11855360009726), (39.0568829, -76.8751037)]"
The Impact of Socially Assistive Robots on Human Flourishing in the Context of Dementia: A Scoping Review,"'Pragmatic Health Ethics Research Unit, Institut de recherches cliniques de Montréal, 110 Avenue Des Pins Ouest, Montréal, QC, H2W 1R7, Canada', 'Division of Experimental Medicine, McGill University, Montréal, QC, Canada', 'Department of Neurology and Neurosurgery, McGill University, Montréal, QC, Canada', 'Department of Medicine and Department of Social and Preventive Medicine, Université de Montréal, Montréal, QC, Canada'","'Erika Fardeau,\xa0Abdou Simon Senghor\xa0&\xa0Eric Racine', 'Abdou Simon Senghor\xa0&\xa0Eric Racine', 'Eric Racine', 'Eric Racine'","[(45.5136471, -73.5761409), (45.50691775, -73.5791162596496), (45.50691775, -73.5791162596496), (45.504956750000005, -73.61453887667918)]"
Correction to: Integrative Robo-Ethics: Uncovering Roboticists’ Attitudes to Ethics and Moving Forward,"'PhD School for Communication Studies, IULM University, via Carlo Bo 1, 20143, Milan, Italy', 'Department of Anthropology, Maynooth University, Maynooth, County Kildare, Ireland', 'Intelligent Systems, TU Delft, Van Mourik Broekmanweg 6, 2628 XE, Delft, The Netherlands', 'Department of Communication, Arts and Media “Giampaolo Fabris”, IULM University, via Carlo Bo 1, 20143, Milan, Italy'","'Antonio Fleres', 'Louise Veling', 'Frank Broz', 'Luisa Damiano'","[(45.44204, 9.162599554489331), (53.3820615, -6.5988074), (51.9990658, 4.3783156), (45.44204, 9.162599554489331)]"
The Uncanny Effect of Speech: The Impact of Appearance and Speaking on Impression Formation in Human–Robot Interactions,"'Faculty of Science and Technology, University of Canberra, Canberra, ACT, 2617, Australia', 'Faculty of Health, University of Canberra, Canberra, ACT, 2617, Australia'","'Neelu Gurung\xa0&\xa0Damith Hearth', 'Janie Busby Grant'","[(-35.2975906, 149.1012676), (-35.2975906, 149.1012676)]"
Expressive Elements of Lifelike Machines,"'Department of Civil and Environmental Engineering, Université Catholique de Louvain, Louvain la Neuve, Belgium', 'Department of Mechanical Engineering, University of Brasilia, Brasília, Brazil', 'Department of Electrical and Computer Engineering, Concordia University, Montreal, Canada', 'Department of Communication Studies, Concordia University, Montreal, Canada'","'Julia Zamboni', 'Dianne Magalhães Viana', 'Luis Rodrigues', 'Mia Consalvo'","[(50.6682012, 4.6128839), (-15.7623096, -47.868293836516145), (45.49524405, -73.57849928292674), (45.49524405, -73.57849928292674)]"
A Trained Humanoid Robot can Perform Human-Like Crossmodal Social Attention and Conflict Resolution,"'CAS Key Laboratory of Behavioral Science, Institute of Psychology, Beijing, China', 'Department of Psychology, University of Chinese Academy of Sciences, Beijing, China', 'Department of Informatics, University of Hamburg, Hamburg, Germany'","'Di Fu,\xa0Ziwei Chen\xa0&\xa0Xun Liu', 'Di Fu,\xa0Ziwei Chen\xa0&\xa0Xun Liu', 'Di Fu,\xa0Fares Abawi,\xa0Hugo Carneiro,\xa0Matthias Kerzel,\xa0Erik Strahl\xa0&\xa0Stefan Wermter'","[(40.00469755, 116.37110264848036), (39.907697049999996, 116.24405770367915), (53.5641091, 9.994978875267606)]"
Editorial Introduction to Special Issue on Machine Learning for Social Human-Robot Interaction,"'Electronics and Telecommunications Research Institute, Daejeon, South Korea', 'University of Auckland, Auckland, New Zealand', 'Korea Institute of Science and Technology, Seoul, South Korea'","'Minsu Jang', 'Ho Seok Ahn', 'Jong-Suk Choi'","[(36.3497007, 127.3849016), (-36.8524464, 174.7704546), (37.6008613, 127.04520184311693)]"
Robot Dialog System in the Context of Hospital Receptionist and its Demonstration,"'Level 6, Room 653, 5 Grafton RD, Auckland, New Zealand', 'Level 3, Room 903-314, 314 Khyber Pass Rd, Newmarket, New Zealand'","'Eui Jun Hwang,\xa0Byeong Kyu Ahn,\xa0Jong Yoon Lim\xa0&\xa0Bruce A. Macdonald', 'Eui Jun Hwang,\xa0Byeong Kyu Ahn,\xa0Jong Yoon Lim\xa0&\xa0Ho Seok Ahn'","[(-36.8602135, 174.7674096), (-36.8669998, 174.7750542)]"
Detecting Lies is a Child (Robot)’s Play: Gaze-Based Lie Detection in HRI,"'Dipartimento di Informatica, Bioingegneria, Robotica e Ingegneria dei Sistemi (DIBRIS), Università di Genova, Opera Pia 13, 16145, Genova, Italy', 'Robotics Brain and Cognitive Sciences (RBCS), Istituto Italiano di Tecnologia, Enrico Melen 83, Bldg B, 16152, Genova, Italy', 'COgNiTive Architecture for Collaborative Technologies (CONTACT), Istituto Italiano di Tecnologia, Enrico Melen 83, Bldg B, 16152, Genova, Italy', 'Information and Communication Technologies Directorate (ICT), Istituto Italiano di Tecnologia, Enrico Melen 83, Bldg B, 16152, Genova, Italy', 'Social and Intelligent Robotics Research Laboratory (SIRRL), Department of Electrical and Computer Engineering, University of Waterloo, Engineering 7, 200 University Ave W, Waterloo, ON N2L 3G5, Canada'","'Dario Pasquali', 'Dario Pasquali,\xa0Giulio Sandini\xa0&\xa0Francesco Rea', 'Dario Pasquali\xa0&\xa0Jonas Gonzalez-Billandon', 'Alessandra Sciutti', 'Alexander Mois Aroyo'","[(44.4148861, 8.9266707), (44.475016499999995, 8.906361822677376), (44.475016499999995, 8.906361822677376), (44.475016499999995, 8.906361822677376), (43.4743473, -80.5427185)]"
Real-Time Social Robot’s Responses to Undesired Interactions Between Children and their Surroundings,"'Department of Mechanical and Industrial Engineering, Qatar University, Doha, 2713, Qatar', 'Department of Electronics, Information and Bioengineering, Politecnico di Milano, Piazza Leonardo da Vinci 32, 20133, Milan, Italy'","'Ahmad Yaser Alhaddad\xa0&\xa0John-John Cabibihan', 'Andrea Bonarini'","[(25.3719714, 51.48795786318291), (45.4778083, 9.2272468)]"
Video Captioning Based on Both Egocentric and Exocentric Views of Robot Vision for Human-Robot Interaction,"'Seoul National University of Science and Technology, Seoul, South Korea'",'Soo-Han Kang\xa0&\xa0Ji-Hyeong Han',"[(37.632441400000005, 127.07946475957468)]"
Factors for Personalization and Localization to Optimize Human–Robot Interaction: A Literature Review,"'Department of Psychological Medicine, The University of Auckland, Auckland, New Zealand', 'School of Health Sciences, The University of Manchester, Manchester, UK', 'Département d’Informatique, Facultés des Sciences et Ingénieries, Sorbonne Université, Paris, France', 'Department of Electrical, Computer and Software Engineering, CARES, The University of Auckland, Auckland, New Zealand'","'Norina Gasteiger', 'Norina Gasteiger', 'Mehdi Hellou', 'Mehdi Hellou\xa0&\xa0Ho Seok Ahn'","[('', ''), ('', ''), (48.8497017, 2.383823836078686), ('', '')]"
Socially Aware Robot Obstacle Avoidance Considering Human Intention and Preferences,"'Department of Mechanical and Aerospace Engineering, West Virginia University, Morgantown, WV, USA', 'Department of Industrial and Systems Engineering, University of Florida, Gainesville, FL, USA', 'Department of Electrical and Computer Engineering, University of North Carolina at Charlotte, Charlotte, NC, USA'","'Trevor Smith\xa0&\xa0Yu Gu', 'Yuhao Chen\xa0&\xa0Boyi Hu', 'Nathan Hewitt'","[(39.63471505, -79.95425356475369), (29.6328784, -82.34901329340119), ('', '')]"
Dynamic Iranian Sign Language Recognition Using an Optimized Deep Neural Network: An Implementation via a Robotic-Based Architecture,"'Social and Cognitive Robotics Lab, Sharif University of Technology, Tehran, Iran', 'Chancellor of Fereshtegaan International Branch, Islamic Azad University, Tehran, Iran', 'Department of Energy Engineering, Sharif University of Technology, Tehran, Iran', 'Faculty of Humanities, Islamic Azad University, West Tehran Branch, Tehran, Iran'","'Salar Basiri,\xa0Alireza Taheri,\xa0Ali F. Meghdari\xa0&\xa0Minoo Alemi', 'Ali F. Meghdari', 'Mehrdad Boroushaki', 'Minoo Alemi'","[(35.7024933, 51.35171721214843), (35.664338799999996, 50.96991328785655), (35.7024933, 51.35171721214843), ('', '')]"
Experience with an Affective Robot Assistant for Children with Hearing Disabilities,"'Department of Computer Engineering, Galatasaray University, Istanbul, Turkey', 'Department of AI and Data Engineering, Istanbul Technical University, Istanbul, Turkey', 'Department of Electrical and Electronics Engineering, Yeditepe University, Istanbul, Turkey'","'Pinar Uluer', 'Pinar Uluer\xa0&\xa0Hatice Kose', 'Elif Gumuslu\xa0&\xa0Duygun Erol Barkana'","[(41.045992299999995, 29.020462428881267), (41.10504645, 29.02632676574676), (40.96897055, 29.103498352605467)]"
A Communicative Perspective on Human–Robot Collaboration in Industry: Mapping Communicative Modes on Collaborative Scenarios,"'Austrian Research Institute for Artificial Intelligence, Freyung 6, 1010, Vienna, Austria'",'Stephanie Gross\xa0&\xa0Brigitte Krenn',"[(48.2123017, 16.3642194)]"
A Novel Mirror Neuron Inspired Decision-Making Architecture for Human–Robot Interaction,"'Bristol Robotics Laboratory, University of the West of England, Coldharbour Lane, Bristol, BS16 1QY, UK', 'Department of Computer Science and Creative Technologies, University of the West of England, Coldharbour Lane, Bristol, BS16 1QY, UK', 'Faculty of Science and Technology, Free University of Bozen-Bolzano, piazza Università, 39100, Bolzano, Italy'","'Mehdi Sobhani\xa0&\xa0Anthony Pipe', 'Jim Smith', 'Angelika Peer'","[(51.50076785, -2.5503106339491204), (51.50076785, -2.5503106339491204), (46.49832485, 11.350104387045558)]"
Correction to: Ethical Considerations from Child-Robot Interactions in Under-Resourced Communities,"'Indraprastha Insitute of Information Technology Delhi, New Delhi, India', 'eLaw Center for Law and Digital Technologies, Leiden University, Leiden, The Netherlands', 'Department of Philosophy, University of Delhi, New Delhi, India'","'Divyanshu Kumar Singh,\xa0Manohar Kumar\xa0&\xa0Jainendra Shukla', 'Eduard Fosch-Villaronga', 'Deepa Singh'","[(28.6138954, 77.2090057), (52.168633850000006, 4.45966305742133), (28.5846757, 77.16358980822572)]"
(Hu)man-Like Robots: The Impact of Anthropomorphism and Language on Perceived Robot Gender,"'Department of Psychology and Ergonomics, Technische Universität Berlin, Marchstr. 12, 10587, Berlin, Germany'","'Eileen Roesler,\xa0Maris Heuring\xa0&\xa0Linda Onnasch'","[(52.5152332, 13.3236246)]"
A Two-Tier GAN Architecture for Conditioned Expressions Synthesis on Categorical Emotions,"'Department of Electrical Engineering and Information Technologies, University of Naples Federico II, via Claudio, 21, 80125, Naples, Italy'","'Paolo Domenico Lambiase,\xa0Alessandra Rossi\xa0&\xa0Silvia Rossi'","[('', '')]"
Not Only WEIRD but “Uncanny”? A Systematic Review of Diversity in Human–Robot Interaction Research,"'Tokyo Institute of Technology, Tokyo, Japan', 'Keio University, Yokohama, Japan', 'The University of Waterloo, Waterloo, ON, Canada'","'Katie Seaborn', 'Giulia Barbareschi', 'Shruti Chandra'","[(35.605038050000005, 139.6827406514703), (35.552084050000005, 139.6495837941362), (43.4952142, -80.5010134)]"
Integrative Robo-Ethics: Uncovering Roboticists’ Attitudes to Ethics and Moving Forward,"'Logic and Philosophy of Science, International University of Languages and Media, Carlo Bo Street, Milan, 20143, Italy', 'Department of Anthropology, Maynooth University, Maynooth, County Kildare, Ireland', 'Intelligent Systems, TU Delft, Van Mourik Broekmanweg 6, Delft, 2628 XE, The Netherlands'","'Antonio Fleres\xa0&\xa0Luisa Damiano', 'Louise Veling', 'Frank Broz'","[('', ''), (53.3820615, -6.5988074), (51.9990658, 4.3783156)]"
From EU Robotics and AI Governance to HRI Research: Implementing the Ethics Narrative,"'Institute for Management Science, TU Wien, Theresianumgasse 27, Vienna, Austria'",'Jesse de Pagter',"[(48.1914781, 16.3734776)]"
"Accounting for Diversity in Robot Design, Testbeds, and Safety Standardization","'eLaw Center for Law and Digital Technologies, Leiden University, Leiden, the Netherlands'",'Eduard Fosch-Villaronga\xa0&\xa0Hadassah Drukarch',"[(52.168633850000006, 4.45966305742133)]"
The Making of Gendered Bodies in Human-Robot Interactions,"'Department of Thematic Studies, Division of Gender Studies, Linköping University, Linköping, Sweden'",'Isabel García Velázquez',"[(58.3977911, 15.57545441574208)]"
"Advancement on Human-Robot Interaction: Perception, Cognitive Architecture and Field Tests","'Department of Industrial Engineering Florence, Florence, Italy'",'Laura Fiorini',"[(43.7698712, 11.2555757)]"
Systematic Review of Affective Computing Techniques for Infant Robot Interaction,"'Department of Neurosciences, Imaging and Clinical Sciences, University G. d’Annunzio of Chieti, Pescara, Italy', 'Next2U s.r.l, Pescara, Italy'","'Chiara Filippini\xa0&\xa0Arcangelo Merla', 'Arcangelo Merla'","[(42.3102619, 13.95759010584892), (42.3102619, 13.95759010584892)]"
Knowledge Engineering Framework for IoT Robotics Applied to Smart Healthcare and Emotional Well-Being,"'Trialog, Paris, France', 'Erasmus School of Health Policy and Management, Erasmus University Rotterdam, Rotterdam, The Netherlands', 'Department of Industrial Engineering, University of Florence, Florence, Italy', 'The BioRobotics Institute, Scuola Superiore Sant’Anna, Pisa, Italy', 'BlueFrog Robotics, Paris, France', 'Université Paris-Dauphine, Paris, France', 'Fondazione IRCCS Casa Sollievo della Sofferenza, San Giovanni Rotondo, Italy', 'Kyoto University, Kyoto, Japan', 'Kobe University, Kobe, Japan'","'Amelie Gyrard,\xa0Antonio Kung,\xa0Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Estibaliz Arzoz-Fernandez', 'Kasia Tabeau,\xa0Eloise Senges,\xa0Marleen De Mul,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Isabelle Fabbricotti', 'Laura Fiorini,\xa0Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Filippo Cavallo', 'Laura Fiorini,\xa0Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Filippo Cavallo', 'Eloise Senges,\xa0Francesco Giuliani,\xa0Delphine Lefebvre\xa0&\xa0Hiroshi Hoshino', 'Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Denis Guiot', 'Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino,\xa0Daniele Sancarlo\xa0&\xa0Grazia D’Onofrio', 'Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Yasuo Okabe', 'Eloise Senges,\xa0Francesco Giuliani,\xa0Hiroshi Hoshino\xa0&\xa0Masahiko Tsukamoto'","[(48.8534951, 2.3483915), (51.9229171, 4.487612362865811), (43.8041147, 11.2729461), (43.7206078, 10.4026444), (48.8534951, 2.3483915), (48.8701102, 2.2734842129220603), (41.7069106, 15.7288455), (35.0234513, 135.7798129), (34.72758, 135.23705326057097)]"
What do Older Adults Want from Social Robots? A Qualitative Research Approach to Human-Robot Interaction (HRI) Studies,"'Norges teknisk-naturvitenskapelige universitet, Trondheim, Norway'","'Roger Andre Søraa,\xa0Gunhild Tøndel,\xa0Mark W. Kharas\xa0&\xa0J Artur Serrano'","[(63.4229196, 10.435483823666626)]"
